First Name,Last Name,Party,State,Stance,Statement,Statement Link,Reelection Year,Address,Phone Number,Local Office Number,Email/Contact Form,Twitter Link,Handle,Press/Campaign Handle,Local Office Address,Previous Contradictory Statement
Amy,Klobuchar,D,MN,Opposed,"It is also incredulous that at the same time the President is asking the Pentagon for new options to defeat ISIL, he is banning Iraqi refugees from entering the country. The government of Iraq is our ally in the fight against ISIL. Its troops fight alongside ours. Its interpreters risk their own lives and the lives of their families to protect U.S. personnel. It undermines our national security and endangers our soldiers to have our Iraqi partners and other Muslim countries distrust our commitment and motives. President Trump said he was ‘totally against’ the U.S. invasion in 2003, which led to Iraq’s destabilization and the rise of ISIL. I guess he is not ‘totally against’ leaving its people to suffer the consequences.",https://m.facebook.com/story.php?story_fbid=10153980676941191&substory_index=0&id=7606381190,,302 Hart Senate Office Building,202-224-3244,612-727-5220,www.klobuchar.senate.gov/public/contact-amy,https://twitter.com/amyklobuchar,@amyklobuchar,,"1200 Washington Avenue South, Room 250, Minneapolis, MN 55415",
Roy,Blunt,R,MO,Support,"“He is doing what he told the American people he would do,” Blunt said in a statement on Sunday. Blunt said he “would not support a travel ban on Muslims,” but suggested that’s not what Trump’s proposal was.“I do support increased vetting on people applying to travel from countries with extensive terrorist ties or activity. These seven countries meet that standard,” said Blunt, who sits on the Senate intelligence committee. “Our top priority should be to keep Americans safe.”",http://www.news-leader.com/story/news/politics/2017/01/29/blunt-board-trumps-controversial-immigration-ban/97221124/,2022,260 Russell Senate Office Building,202-224-5721,417-877-7814,www.blunt.senate.gov/public/index.cfm/contact-roy,https://twitter.com/RoyBlunt,@RoyBlunt,@RoyBluntPress,"2740 B East Sunshine, Springfield, MO 65804","12/14/15, Columbiamissourian.com: U.S. Sen. Roy Blunt, R-Missouri, discussed the issue during a conference call with Missouri reporters on Wednesday, his spokesman Brian Hart said. ""I think it is a mistake anytime we walk away from religious freedom in this country,"" Blunt said."
Claire,McCaskill,D,MO,Opposed,Long statement in tweet,https://twitter.com/clairecmc/status/825356172068843522,,506 Hart Senate Office Building,202-224-6154,573-651-0964,http://www.mccaskill.senate.gov/contact,https://twitter.com/clairecmc,@clairecmc,@McCaskillOffice,"555 Independence St., Room 1600, Cape Girardeau, Missouri 63703",
Thad,Cochran,R,MS,Silent as of 2/7 10 pm PT,"“That’s above my pay grade,” he said. “There are bigger, more responsible officials who can answer that.”
Cochran added that he didn’t feel the need to voice his views on the ban because there was no imminent bill before the Senate on it. “That’s not something that the Senate is going to be voting on anytime soon,” he said",http://www.vox.com/2017/1/31/14440596/trump-immigration-order-congress,2020,113 Dirksen Senate Office Building,202-224-5054,601-965-4459,https://www.cochran.senate.gov/public/index.cfm/email-me,https://twitter.com/SenThadCochran,@SenThadCochran,,"190 East Capitol Street, Suite 550, Jackson MS 39201",
Roger,Wicker,R,MS,Silent as of 2/7 10 pm PT,"Not on immigration EO, but website describes his immigration stance: ""I oppose amnesty for illegal immigrants and believe that the first step towards stopping the illegal immigration problem is to secure our borders. I have visited the border at the Rio Grande and witnessed firsthand the challenges facing our border patrol agents. To help them do their job, I have supported legislation to build over 700 miles of reinforced fencing along our southern border, increase the number of border patrol agents, and increase the use of unmanned aerial vehicles and other technology along the border to catch illegal immigrants before they cross into our country. I also support stiffening penalties on employers who knowingly employ illegals.""",,2018,555 Dirksen Senate Office Building,202-224-6253,601-965-4644,https://www.wicker.senate.gov/public/index.cfm/contact,@SenatorWicker,,@RogerWicker,"US Federal Courthouse, 501 East Court Street, Suite 3-500, Jackson, MS 39201",
Steve,Daines,R,MT,Support,We are at war with Islamic extremists and anything less than 100 percent verification of these refugees’ backgrounds puts our national security at risk. We need to take the time to examine our existing programs to ensure terrorists aren't entering our country. The safety of U.S. citizens must be our number one priority.,http://www.greatfallstribune.com/story/news/local/2017/01/29/montana-response-trump-ban-muslim-immigration-subdued/97229884/,2020,511 Hart Senate Office Building,202-224-2651,406-245-6822,https://www.daines.senate.gov/connect/email-steve,https://twitter.com/SteveDaines,@SteveDaines,,"222 N. 32nd Street, Ste. 100, Billings, MT 59101",
Jon,Tester,D,MT,Opposed,"This EO is having harmful consequences on children and brave allies who are helping us fight terrorism. We must take strong steps to protect our nation from those who want to harm us, but we cannot sacrifice our religious freedom and our American values.",https://twitter.com/SenatorTester/status/825792413335699457/photo/1,2018,706 Hart Senate Office Building,202-224-2644,406-252-0550,https://www.tester.senate.gov/?p=email_senator,,@SenatorTester,@jontester,"Judge Jameson Federal Building, 2900 4th Ave N, Suite 201, Billings, MT 59101",
Richard,Burr,R,NC,Silent as of 2/7 10 pm PT,,,2022,217 Russell Senate Office Building,202-224-3154,336-631-5125,https://www.burr.senate.gov/contact/email,https://twitter.com/SenatorBurr,@SenatorBurr,,"2000 West First Street, Suite 508, Winston-Salem, NC 27104","charlotteobserver.com, June 4, 2013: Afterward, he tweeted, “In my speech on protecting America I spoke about a temporary ban, which includes suspending immigration from nations tied to Islamic terror.”"
Thom,Tillis,R,NC,"Opposed, but only on technicalities","As we offer safety to refugees, we must also be mindful of the sad reality that radical Islamic terrorists are actively attempting to infiltrate refugee programs to enter Western nations. The FBI director has warned Congress that the United States lacks the capability to properly vet all Syrian refugees. This is a significant vulnerability, and strengthening the screening of refugees is a matter of national security.While the executive order does take immediate action aimed at tightening the refugee screening process, there is a lot of confusion surrounding the order, particularly given the instances of green card holders inexplicably being denied entry back into the United States. Implementation of the order should be refined to provide more clarity and mitigate unintended consequences that do not make our country any safer.",https://twitter.com/SenThomTillis/status/825771857412575233,2020,521 Dirksen Senate Office Building,202-224-6342,(704) 509-9087,https://www.tillis.senate.gov/public/index.cfm/email-me,@ThomTillis,,,"9300 Harris Corners Pkwy, Suite 170, Charlotte, NC 28269",
Heidi,Heitkamp,D,ND,Opposed,"Excerpt - ""We must continue to be the country that opens doors for those seeking opportunity and refuge, just as it did for the generations of family members who came before us. We must never take for granted the opportunities we have by closing those doors to others seeking the same hope for a better future. We must be America""",https://www.facebook.com/SenatorHeidiHeitkamp/posts/1321902364499793?hc_location=ufi,2018,502 Hart Senate Office Building,202-224-2043,701-258-4648,http://www.heitkamp.senate.gov/public/index.cfm/contact,https://twitter.com/SenatorHeitkamp,@SenatorHeitkamp,@Heidi4ND,"228 Federal Building, 220 East Rosser Avenue, Bismark, ND 58501 ",
John,Hoeven,R,ND,Silent as of 2/7 10 pm PT,,,2022,338 Russell Senate Office Building,202-224-2551,701-250-4618,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,https://twitter.com/SenJohnHoeven,@SenJohnHoeven,@hoeven4senate,"US Federal Building, 220 East Rosser Ave, Room 312, Bismark, ND 58501",
Deb,Fischer,R,NE,Silent as of 1/31 12 pm PT,,,2018,383 Russell Senate Office Building,202-224-6551,308-234-2361,http://www.fischer.senate.gov/public/index.cfm/contact,https://twitter.com/SenatorFischer,@SenatorFischer,,"20 West 23rd Street, Kearney NE 68847",
Benjamin,Sasse,R,NE,Opposed,"The President is right to focus attention on the obvious fact that borders matter. At the same time, while not technically a Muslim ban, this order is too broad. There are two ways to lose our generational battle against jihadism by losing touch with reality. The first is to keep pretending that jihadi terrorism has no connection to Islam or to certain countries. That’s been a disaster. And here's the second way to fail: If we send a signal to the Middle East that the U.S. sees all Muslims as jihadis, the terrorist recruiters win by telling kids that America is banning Muslims and that this is America versus one religion. Both approaches are wrong, and both will make us less safe. Our generational fight against jihadism requires wisdom",http://www.sasse.senate.gov/public/index.cfm/press-releases?ID=813E24D8-1B88-4070-BF16-795305303A2B,2022,404 Russell Senate Office Building,202-224-4224,402-476-1400,www.sasse.senate.gov/public/index.cfm/email-ben,https://twitter.com/BenSasse,@BenSasse,,"1128 Lincoln Mall, Suite 305, Lincoln NE 68508",
Maggie,Hassan,D,NH,Opposed,"President Trump’s executive action imposing a religious test on entry into the United States runs counter to the fundamental values that make America the greatest country on earth. It will also make us less safe. We must always be working to strengthen the vetting process for all entryways into the United States, but discriminating against individuals on the basis of their religion will only harm our national security interests.",https://twitter.com/SenatorHassan/status/825431574367834113,,144 Russell Senate Office Building,202-224-3324,603-622-2204,https://www.hassan.senate.gov/content/contact-senator,https://twitter.com/SenatorHassan,@SenatorHassan,,"1200 Elm Street, Suite 2, Manchester, NH 03101",
Jeanne,Shaheen,D,NH,Opposed,Trump's immigration order endangers our troops & diplomats by undermining the alliances & trust they've established (longer statement in tweet),https://twitter.com/SenatorShaheen/status/825401026089992192,,520 Hart Senate Office Building,202-224-2841,603-647-7500,https://www.shaheen.senate.gov/contact/contact-jeanne,https://twitter.com/SenatorShaheen,@SenatorShaheen,@JeanneShaheen,"2 Wall Street, Suite 220, Manchester, NH 03101",
Cory,Booker,D,NJ,Opposed - came to airport too!,"This Executive Order violates our values and assaults our moral standing as a nation. I will fight this, we must fight this.",https://twitter.com/CoryBooker/status/825458646075240448,,1 Russell Courtyard,202-224-3224,856-338-8922,https://www.booker.senate.gov/?p=contact,https://twitter.com/CoryBooker,@CoryBooker,@Booker4Senate,"One Port Center, 2 Riverside Drive, Suite 505, Camden, NJ 08101",
Robert,Menendez,D,NJ,Opposed,"Excerpt - ""With the stroke of a pen, President Trump’s action has undermined the core values that built this country. It is profoundly un-American to turn away those fleeing horrific violence and persecution or to discriminate against people based on nationality and religion. """,https://www.facebook.com/senatormenendez/posts/10154914894176358,,528 Hart Senate Office Building,202-224-4744,973-645-3030,https://www.menendez.senate.gov/contact,https://twitter.com/SenatorMenendez,@SenatorMenendez,@Menendez4NJ,"One Gateway Center, Suite 1100, Newark, NJ 07102",
Martin,Heinrich,D,NM,Opposed,We are not a country that discriminates based on how you pray. We are not a nation that turns our back on the innocent victims of terrorism or the allies who risked their own lives so that American soldiers might live.,https://twitter.com/MartinHeinrich/status/825488111173918721,,702 Hart Senate Office Building,202-224-5521,505-346-6601,http://www.heinrich.senate.gov/contact,https://twitter.com/MartinHeinrich,@MartinHeinrich,@Heinrich4NM,"400 Gold Avenue SW, Ste 1080, Albuquerque, NM 87102 ",
Tom,Udall,D,NM,Opposed,The executive orders President Trump signed banning immigration from several Muslim countries and turning away refugees to the United States are un-American. Turning our backs on immigrants and refugees is a betrayal of our country's values. There is no religious test for the American dream. ‎,http://www.tomudall.senate.gov/?p=press_release&id=2532,2020,110 Hart Senate Office Building,202-224-6621,505-346-6791,https://www.tomudall.senate.gov/?p=contact,@SenatorTomUdall,@TomUdallPress,@tomudall,"400 Gold Avenue SW, Ste 300 Albuquerque, NM 87102",
Catherine,Cortez Masto,D,NV,Opposed,President Trump's unconstitutional Muslim ban will not make our country safe. All it does is stir up bigotry and hate. #NoBanNoWall,https://www.cortezmasto.senate.gov/content/cortez-masto-statement-president-trump%E2%80%99s-divisive-executive-orders-immigration,2022,522 Hart Senate Office Building,202-224-3542,702-388-5020,www.cortezmasto.senate.gov/content/contact-senator,https://twitter.com/CatherineForNV,@CatherineForNV,,"333 Las Vegas Boulevard South, Suite 8016, Las Vegas, NV 89101",
Dean,Heller,R,NV,Opposed,"I share the President's desire to protect our nation from harm.I agree that better vetting and border protection measures are necessary. That's why I support the thorough vetting of individuals entering our country. However, I am deeply troubled by the appearance of religious ban. The use of an overly broad executive order is not the way to strengthen national security. I encourage the Administration to partner with Congress to find a solution.",https://twitter.com/SenDeanHeller/status/825903544825937922,2018,324 Hart Senate Office Building,202-224-6244,702-388-6605,http://www.heller.senate.gov/public/index.cfm/contact-form,https://twitter.com/SenDeanHeller,@SenDeanHeller,@DeanHeller,"8930 West Sunset Road, Suite 230, Las Vegas, NV 89148",
Kirsten,Gillibrand,D,NY,Opposed,Our diversity is what makes us strong. I'll continue to stand with immigrant & refugee families and I'll fight in the Senate to protect them,https://twitter.com/SenGillibrand/status/825147428676464641,,478 Russell Senate Office Building,202-224-4451,518-431-0120,http://www.gillibrand.senate.gov/contact/,https://twitter.com/SenGillibrand,@SenGillibrand,,"Leo W. O'Brien Federal Office Building, 11A Clinton Avenue, Room 821, Albany, NY 12207",
Chuck,Schumer,D,NY,Opposed,(Many tweets) ... We have a long & proud tradition of accepting refugees who seek safety in the US after thorough vetting. That tradition should continue.,https://twitter.com/SenSchumer/status/825504836145786881,,322 Hart Senate Office Building,202-224-6542,518-431-4070,www.schumer.senate.gov/contact/email-chuck,https://twitter.com/SenSchumer,@SenSchumer,@chuckschumer,"Leo O'Brien Building, Room 420, Albany, NY 12207",
Sherrod,Brown,D,OH,Opposed,"Keeping America safe must be our top priority, and we do that by aggresively going after terrorism wherever it exists, not by turning our backs on children and families just like ours, whose only goal is to escape violence and persecution. We must continue to use every tool at our disposal to make sure our screening system is tough and effective, and I have and will continue to support meaningful efforts to ensure our vetting process works to keep terrorists out. But targeting women, children and families who are fleeing the very same terrorists we are fighting against is wrong, will not make America safer, and may actually undermine our long-term security.",https://twitter.com/SenSherrodBrown/status/825431416984977409,,713 Hart Senate Office Building,202-224-2315,216-522-7272,http://www.brown.senate.gov/contact/,https://twitter.com/SenSherrodBrown,@SenSherrodBrown,,"801 West Superior Ave., Suite 1400, Cleveland, OH 44113",
Rob,Portman,R,OH,Opposed,"On CNN, said EO was not properly vetted and implemented, thinks we need to slow down. Our country is not as safe as it should be but we are a beacon of hope to the rest of the world. This is not the way to do it. (See full video)",https://www.youtube.com/watch?v=9FY89SdaKbI,2022,448 Russell Senate Office Building,202-224-3353,313-226-6020,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,https://twitter.com/senrobportman,@senrobportman,,"37 West Broad Street, Room 300, Columbus, OH 43215",
James,Inhofe,R,OK,Support,"Excerpt - President Trump's executive order follows through on the promises made on the campaign trail to secure our country and protect our citizens. This is not a Muslim ban, as the measure suspends all refugee admittance for 120 days and suspends the issuance of visas to nationals of seven countries for 90 days. Time and again terrorists have stated their intent to infiltrate refugee populations in order ot spread their ideology and terror throughout the West, as has already happened in Europe. Frthermore, the pause on visa applicants for countries that Condress and the Departments of State an dHomeland Security have determined as areas of concern to national security is reasonable given the unrest and the state of instability in each of those countries. ",https://twitter.com/jiminhofe/status/826110126671200261,2020,205 Russell Senate Office Building,202-224-4721,918-748-5111,www.inhofe.senate.gov/contact,https://twitter.com/jiminhofe,@jiminhofe,,"1924 S. Utica Avenue, Suite 530, Tulsa, OK 74104",
James,Lankford,R,OK,Opposed,We should value freedom & not surrender security. We can protect the homeland while upholding #religiousfreedom & refuge for the persecuted.,https://twitter.com/SenatorLankford/status/825728687245029377,2022,172 Russell Senate Office Building,202-224-5754,405-231-4941,http://www.lankford.senate.gov/contact/email,https://twitter.com/SenatorLankford,@SenatorLankford,@jameslankford,"1015 North Broadway Avenue, Suite 310, Oklahoma City, OK 73102",
Jeff,Merkley,D,OR,Opposed,Hundreds at my @TigardOR town hall know Trump's Muslim ban is both an affront to our Constitutional values & dangerously counterproductive.,https://twitter.com/SenJeffMerkley/status/825468728607379456,,313 Hart Senate Office Building,202-224-3753,503-326-3386,http://www.merkley.senate.gov/contact/,https://twitter.com/SenJeffMerkley,@SenJeffMerkley,@JeffMerkley,"121 SW Salmon Street., Ste. 1400
Portland, OR 97204",
Ron,Wyden,D,OR,Opposed,"I believe Americans are wiser, braver and more generous than this President.",https://twitter.com/RonWyden/status/825118913767862273,,221 Dirksen Senate Office Building,202-224-5244,503-326-7525,https://www.wyden.senate.gov/contact/,@RonWyden,@WydenPress,@WydenForOregon,"911 NE 11th Ave., Suite 630, Portland, OR 972312",
Bob,Casey,D,PA,Opposed - even went to the airport!,"Long twitter thread - .@realDonaldTrump's exec order imposes a religious test on refugees- it is deeply inconsistent w/ our values & won't make our nation safer. Escaping religious tests is exactly why people colonized America 400 years ago. Subjecting refugees to such a test is not who we are. I've had classified briefings, voted for legislation to improve screening. @realDonaldTrump executive order is about politics, not security.",https://twitter.com/SenBobCasey/status/825353891139186688 …,,393 Russell Senate Office Building,202-224-6324,717-231-7540,https://www.casey.senate.gov/contact/,https://twitter.com/SenBobCasey,@SenBobCasey,,"200 N. Third St., Suite 14A, Harrisburg, PA 17101",
Pat,Toomey,R,PA,Soft opposed,"Republican U.S. Sen. Pat Toomey weighed in Monday on President Donald Trump's immigration order, saying he supports the decision to temporarily suspend entry to the U.S. but viewed the initial order as ""too broad and poorly explained.  He states, ""I look forward to learning more about how the administration intends to enforce this executive order, to determine whether it indeed strikes the appropriate balance between defending our nation and maintaining our ability to provide a safe haven for persecuted individuals""",http://www.mcall.com/news/breaking/mc-trump-immigration-order-pat-toomey-20170130-story.html,2022,248 Russell Senate Office Building,202-224-4254,610-434-1444,https://www.toomey.senate.gov/?p=contact,@SenToomey,,@ToomeyForSenate,"1150 S. Cedar Crest Blvd. Suite 101, Allentown, PA 18103",
Jack,Reed,D,RI,Opposed,"As Americans, we must keep faith with the Constitution & reject Trump's religious test on refugees before it spreads",https://twitter.com/SenJackReed/status/825560415623061504,,728 Hart Senate Office Building,202-224-4642,401-943-3100,https://www.reed.senate.gov/contact/,https://twitter.com/SenJackReed,@SenJackReed,,"1000 Chapel View Boulevard, Suite 290, Cranston, RI 02920",
Sheldon,Whitehouse,D,RI,Opposed,"President Trump's broad brush executive order on refugees doesn't discern women and children, local supporters and employees who helped American troops and have to flee for safety, or other good reasons to keep a safe refugee process operating. None of the 9/11 terrorists came from these countries, and the last time ""America First"" folks closed our borders it was to European Jews fleeing the Third Reich. This is dangerous territory for rash decisions. The blunt signal this makes to the Arab world will help Russia and hurt us, and we all lose when the United States loses its standing as a place for children and families fleeing war and persecution to find peace and a chance to build a new life.‎‎",https://twitter.com/SenWhitehouse/status/825465893920636930,,530 Hart Senate Office Building,202-224-2921,401-453-5294,www.whitehouse.senate.gov/contact/email-sheldon,@SenWhitehouse,,@SheldonforRI,"170 Westminister St., Ste. 200, Providence, RI 02904",
Lindsey,Graham,R,SC,Opposed,"Our government has a responsibility to defend our borders, but we must do so in a way that makes us safer and upholds all that is decent and exceptional about our nation. It is clear from the confusion at our airports across the nation that President Trump’s executive order was not properly vetted. We are particularly concerned by reports that this order went into effect with little to no consultation with the Departments of State, Defense, Justice, and Homeland Security. Such a hasty process risks harmful results. We should not stop green-card holders from returning to the country they call home. We should not stop those who have served as interpreters for our military and diplomats from seeking refuge in the country they risked their lives to help. And we should not turn our backs on those refugees who have been shown through extensive vetting to pose no demonstrable threat to our nation, and who have suffered unspeakable horrors, most of them women and children. Ultimately, we fear this executive order will become a self-inflicted wound in the fight against terrorism. At this very moment, American troops are fighting side-by-side with our Iraqi partners to defeat ISIL. But this executive order bans Iraqi pilots from coming to military bases in Arizona to fight our common enemies. Our most important allies in the fight against ISIL are the vast majority of Muslims who reject its apocalyptic ideology of hatred. This executive order sends a signal, intended or not, that America does not want Muslims coming into our country. That is why we fear this executive order may do more to help terrorist recruitment than improve our security.",http://www.mccain.senate.gov/public/index.cfm/press-releases?ID=587F2A2D-8A47-48F7-9045-CF30F0A77889,2020,290 Russell Senate Office Building,202-224-5972,(864) 250-1417,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,https://twitter.com/GrahamBlog,@GrahamBlog,@LindseyGrahamSC,"130 South Main Street, 7th Floor, Greenville, SC 29601",
Tim,Scott,R,SC,Skeptical - joint statement with Rubio,"We generally support additional vetting for many of those entering our country from nations where the United States has identified there are serious concerns regarding terrorist activities and planning. But given the broad scope and nature of these policy changes, we have some unanswered questions and concerns. We are seeking clarity on the changes to the Visa Waiver program, which is critical to the economies of our respective states.",https://www.facebook.com/SenatorMarcoRubio/?hc_ref=PAGES_TIMELINE&fref=nf,2022,167 Russell Senate Office Building,202-224-6121,803-771-6112,www.scott.senate.gov/contact/email-me,https://twitter.com/SenatorTimScott,@SenatorTimScott,@votetimscott,"1301 Gervais Street, Suite 825, Columbia, SC 29201",
Mike,Rounds,R,SD,Support,"""Terrorists have shown they are willing to infiltrate countries posing as refugees,"" Rounds said in a statement. ""We must make certain our top U.S. intelligence officials are satisfied that we have all the information needed to properly vet certain refugees to make sure they don’t have ties to terrorism.""",http://www.argusleader.com/story/news/politics/2017/01/30/rounds-breaks-silence-supports-temporary-refugee-ban/97237528/,2020,136 Hart Senate Office Building,202-224-5842,605-224-1450,https://www.rounds.senate.gov/contact/email-mike,https://twitter.com/SenatorRounds,@SenatorRounds,,"111 W. Capitol Ave., Suite 210, PO Box 309, Pierre, SD 57501",
John,Thune,R,SD,Skeptical,"""The way in which this particular executive order was rolled out has unfortunately created unnecessary confusion. Americans deserve more clarity on this issue from the administration. It’s clear we need to vet individuals coming to this country from areas where terrorists are operating,"" Thune said. ""President Trump inherited a humanitarian crisis made worse by President Obama's inaction. This very brief pause gives us a chance to fully assess the threats we are facing and to strengthen our vetting process.""",http://www.argusleader.com/story/news/politics/2017/01/30/rounds-breaks-silence-supports-temporary-refugee-ban/97237528/,2022,511 Dirksen Senate Office Building,202-224-2321,605-348-7551,http://www.thune.senate.gov/public/index.cfm/contact,@SenJohnThune,,@johnthune,"246 Founders Park Drive, Suite 102, Rapid City, SD 57701",
Lamar,Alexander,R,TN,Opposed,"This vetting proposal itself needed more vetting. More scrutiny of those traveling from war-torn countries to the United States is wise. But this broad and confusing order seems to ban legal, permanent residents with ‘green cards,’ and might turn away Iraqis, for example, who were translators and helped save lives of American troops and who could be killed if they stay in Iraq. And while not explicitly a religious test, it comes close to one which is inconsistent with our American character.",http://www.alexander.senate.gov/public/index.cfm/pressreleases?ID=C007E222-C999-4341-AB41-7E5A2A752F50,2020,455 Dirksen Senate Office Building,202-224-4944,(423) 752-5337,https://www.alexander.senate.gov/public/index.cfm/email,https://twitter.com/SenAlexander,@SenAlexander,@LamarAlexander,"Joel E. Soloman Federal Building, 900 Georgia Avenue, #260, Chattanooga, TN 37402",
Bob,Corker,R,TN,Opposed,"We all share a desire to protect the American people, but this executive order has been poorly implemented, especially with respect to green card holders. The administration should immediately make appropriate revisions, and it is my hope that following a thorough review and implementation of security enhancements that many of these programs will be improved and reinstated.",http://www.reuters.com/article/us-usa-trump-immigration-corker-idUSKBN15D15Y?il=0,2018,425 Dirksen Senate Office Building,202-224-3344,901-683-1910,https://www.corker.senate.gov/public/index.cfm/emailme,https://twitter.com/SenBobCorker,@SenBobCorker,,"100 Peabody Place, Suite 1125, Memphis, TN 38103",
John,Cornyn,R,TX,Supportive,"1) ""Regarding the President’s recent executive order on immigration: public safety is the number one responsibility of the federal government. I support the vetting of refugees and immigrants coming into our country, but I oppose blanket exclusion of anybody according to their religion. That’s not what America is all about."" 2) ""They got into a big hurry,"" Cornyn said of the roll-out, quickly adding: ""But public safety is the No. 1 responsibility of the federal government, so I certainly support the vetting of refugees coming into the country.""",1) https://www.facebook.com/SenJohnCornyn/ 2) http://www.dallasnews.com/news/politics/2017/01/30/ted-cruz-strongly-backs-trump-travel-ban-john-cornyn-cautious,2020,517 Hart Senate Office Building,202-224-2934,713-572-3337,https://www.cornyn.senate.gov/contact,https://twitter.com/JohnCornyn,@JohnCornyn,,"5300 Memorial Drive Suite 980, Houston TX 77007 ",
Ted,Cruz,R,TX,Supportive,"Excerpt - We live in a dangerous world, and for eight long years the Obama administration remained willfully blind to the threat of radical Islamic terrorism, admitting tens of thousands of refugees whom the FBI expressly told Congress they could not be certain were not terrorists. That Obama policy made no sense, and it made America less safe. If we are serious about combating the threat of radical Islam, we must reform and strengthen our refugee programs to ensure proper vetting of those entering our country—especially when they are coming from nations that are hotbeds of terror. This is crucial to our national security and to protecting American lives, and it is a priority for which I have long advocated. ",https://www.cruz.senate.gov/?p=press_release&id=2980,2018,185 Dirksen Senate Office Building,202-224-5922,(512) 916-5834,http://www.cruz.senate.gov/?p=email_senator,https://twitter.com/SenTedCruz,@SenTedCruz,,"300 E 8th, Suite 961, Austin, TX 78701",
Orrin,Hatch,R,UT,Neutral,"The present geopolitical situation in the war-torn Middle East presents a number of difficult questions regarding the intersection of our efforts to protect Americans from the threat of terrorism and our legal and moral obligations to help the innocent victims of these terrible conflicts. In particular, as a lifelong member of the Church of Jesus Christ of Latter-day Saints, I am acutely aware that many of my own ancestors in not-too-distant past were themselves refugees, religious minorities violently driven from their homes and who undertook a long and dangerous journey to build a new life in a distant land."" ""President Trump has described the motivation of his recent order as a means '[t]o temporarily reduce investigative burdens on relevant agencies.' In this spirit, I strongly urge the new administration to move quickly to tailor its policy on visa issuance as narrowly as possible, delivering on our security needs while reducing unnecessary burdens on the vast majority of visa-seekers that present a promise—not a threat—to our nation. Doing so as expeditiously as possible will achieve our shared goals of keeping the country we love both safe and free, a beacon of justice to the world.",https://twitter.com/SenOrrinHatch/status/825534216645509121,,104 Hart Senate Office Building,202-224-5251,(801) 524-4380,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,https://twitter.com/OrrinHatch,@OrrinHatch,@SenOrrinHatch,"8402 Federal Building, 125 South State Street, Salt Lake City, UT 84138","desertnews.com, 1/2/16: Hatch and other members of the delegation expressed concern about Trump's call in early December to bar Muslims from entering the United States in light of terrorist attacks here and abroad."
Mike,Lee,R,UT,Neutral ,"National security is always the federal government's top priority, so I am pleased that the White House is focused on protecting the American people. I do have some technical questions about President Trump's Executive Order titled 'Protecting the Nation From Foreign Terrorist Entry Into the United States.' My staff and I will continue to reach out to the White House for clarification on these issues.",http://www.sltrib.com/news/4875807-155/mike-lee-critical-of-a-muslim,2022,316 Hart Senate Office Building,202-224-5444,801-524-5933,https://www.lee.senate.gov/public/index.cfm/contact,https://twitter.com/SenMikeLee,@SenMikeLee,,"Wallace F. Bennett Federal Building, 125 South State, Suite 4225, Salt Lake City, UT 84138",
Tim,Kaine,D,VA,Opposed,"I am appalled by the cruelty the Trump Administration has demonstrated over the past 24 hours. By indefinitely suspending the Syrian refugee program and imposing a religious test at our borders, he has defied everything our nation stands for. He's also weakened our national security by empowering ISIL's narrative that the West is at war with Islam and encouraging the listed countries to further cooperate with adversaries like Russia and Iran. For decades, America has acted as the Good Samaritan and extended a welcoming hand to those who yearn to be free. We should continue to thoroughly vet all refugees who enter the United States, but we cannot abandon our core principles. If we turn our backs on widows and orphans fleeing the very evil we despise, we do not defeat our enemies; we surrender to them.",https://twitter.com/timkaine/status/825468970404872196,,388 Russell Senate Office Building,202-224-4024,434-792-0976,https://www.kaine.senate.gov/contact,https://twitter.com/timkaine,@timkaine,@SenKaineOffice,"308 Craghead Street, Suite 102A, Danville, VA 24541",
Mark,Warner,D,VA,Opposed,.@POTUS executive order doesn't reflect our American values & harms our natl. security interests. (longer statement in tweet),https://twitter.com/MarkWarner/status/825144935552782340,,475 Russell Senate Office Building,202-224-2023,276-628-8158,http://www.warner.senate.gov/public/index.cfm?p=Contact,,@MarkWarner,@MarkWarnerVA,"180 West Main Street, Abingdon, VA 24210",
Pat,Leahy,D,VT,Opposed,Joint statement with Sanders and Welch,https://www.leahy.senate.gov/press/leahy-sanders-and-welch-issue-joint-statement_on-president-trumps-move-to-halt-refugee-resettlements-in-vermont-and-across-the-country,,437 Russell Senate Office Building,202-224-4242,(802) 863-2525,https://www.leahy.senate.gov/contact/,https://twitter.com/SenatorLeahy,@SenatorLeahy,,"199 Main Street, 4th Floor, Burlington, VT 0541",
Bernie,Sanders,I,VT,Opposed,"Demagogues survive politically by fostering hatred, especially against minorities. They try to divide people up by their religion, country of origin or the color of their skin. By temporarily barring all immigrants from seven majority-Muslim countries and giving preference to Christian refugees, Trump is doubling down on the hateful rhetoric he used during his campaign. Further, he is breaking with the historic tradition of the U.S. and turning his back on those men, women and children fleeing violence, oppression, and starvation. Trump’s latest executive action will not make us safer. In fact, his anti-Muslim actions play right into the hands of those anti-American fanatics who wish to do us harm. Love and compassion trumps hatred and intolerance.",https://twitter.com/SenSanders/status/825381179775971328,,332 Dirsken Office Building,202-224-5141,802-862-0697,www.sanders.senate.gov/contact/,https://twitter.com/SenSanders,@SenSanders,,"1 Church St., 3rd Floor, Burlington VT 05401",
